,YEAR,MONTH,DAY,DAY_OF_WEEK,AIRLINE,FLIGHT_NUMBER,TAIL_NUMBER,ORIGIN_AIRPORT,DESTINATION_AIRPORT,SCHEDULED_DEPARTURE,DEPARTURE_TIME,DEPARTURE_DELAY,TAXI_OUT,WHEELS_OFF,SCHEDULED_TIME,ELAPSED_TIME,AIR_TIME,DISTANCE,WHEELS_ON,TAXI_IN,SCHEDULED_ARRIVAL,ARRIVAL_TIME,ARRIVAL_DELAY,DIVERTED,CANCELLED,CANCELLATION_REASON,AIR_SYSTEM_DELAY,SECURITY_DELAY,AIRLINE_DELAY,LATE_AIRCRAFT_DELAY,WEATHER_DELAY
1616567,2015,4,14,2,OO,4586,N804SK,SLC,SJC,834,826.0,-8.0,24.0,850.0,124.0,,,584,1111.0,4.0,938,1115.0,,1,0,,,,,,
1274809,2015,3,24,2,DL,2507,N920DE,SAV,ATL,730,727.0,-3.0,16.0,743.0,79.0,72.0,42.0,214,825.0,14.0,849,839.0,-10.0,0,0,,,,,,
2427494,2015,6,3,3,EV,4158,N16981,BOS,CLE,1309,1336.0,27.0,15.0,1351.0,123.0,102.0,81.0,563,1512.0,6.0,1512,1518.0,6.0,0,0,,,,,,
5702850,2015,12,24,4,DL,701,N996AT,MSN,DTW,900,849.0,-11.0,16.0,905.0,72.0,73.0,50.0,311,1055.0,7.0,1112,1102.0,-10.0,0,0,,,,,,
989823,2015,3,6,5,OO,4661,N912EV,SLC,FAT,1520,1512.0,-8.0,18.0,1530.0,104.0,88.0,66.0,501,1536.0,4.0,1604,1540.0,-24.0,0,0,,,,,,
2818593,2015,6,26,5,MQ,3317,N543MQ,ICT,DFW,1621,1759.0,98.0,10.0,1809.0,77.0,153.0,56.0,328,1905.0,87.0,1738,2032.0,174.0,0,0,,76.0,0.0,6.0,92.0,0.0
4069837,2015,9,10,4,WN,352,N365SW,DEN,LAX,1655,1733.0,38.0,15.0,1748.0,145.0,139.0,120.0,862,1848.0,4.0,1820,1852.0,32.0,0,0,,0.0,0.0,21.0,11.0,0.0
1336176,2015,3,27,5,AA,2323,N4YAAA,OMA,DFW,1829,1820.0,-9.0,10.0,1830.0,116.0,96.0,77.0,583,1947.0,9.0,2025,1956.0,-29.0,0,0,,,,,,
4865865,2015,10,31,6,MQ,3059,N649MQ,11298,12915,1210,1203.0,-7.0,12.0,1215.0,80.0,87.0,73.0,295,1328.0,2.0,1330,1330.0,0.0,0,0,,,,,,
166698,2015,1,11,7,OO,2590,N866AS,LAX,SAN,1900,1921.0,21.0,11.0,1932.0,46.0,42.0,27.0,109,1959.0,4.0,1946,2003.0,17.0,0,0,,0.0,0.0,0.0,17.0,0.0
4546795,2015,10,11,7,WN,1019,N239WN,11292,10423,1005,1023.0,18.0,21.0,1044.0,120.0,124.0,98.0,775,1322.0,5.0,1305,1327.0,22.0,0,0,,22.0,0.0,0.0,0.0,0.0
3749916,2015,8,21,5,WN,2840,N915WN,BWI,ROC,1010,1030.0,20.0,12.0,1042.0,70.0,63.0,46.0,277,1128.0,5.0,1120,1133.0,13.0,0,0,,,,,,
4914891,2015,11,3,2,AA,1766,N752US,STL,CLT,1619,1617.0,-2.0,12.0,1629.0,111.0,107.0,84.0,575,1853.0,11.0,1910,1904.0,-6.0,0,0,,,,,,
4457464,2015,10,5,1,EV,5262,N200PQ,10397,11953,1507,1512.0,5.0,28.0,1540.0,76.0,73.0,43.0,300,1623.0,2.0,1623,1625.0,2.0,0,0,,,,,,
2731709,2015,6,21,7,UA,348,N779UA,OGG,ORD,1610,1615.0,5.0,8.0,1623.0,470.0,462.0,448.0,4184,451.0,6.0,500,457.0,-3.0,0,0,,,,,,
4275701,2015,9,24,4,WN,1128,N268WN,PDX,SJC,540,537.0,-3.0,10.0,547.0,105.0,106.0,90.0,569,717.0,6.0,725,723.0,-2.0,0,0,,,,,,
2610821,2015,6,14,7,MQ,3126,N813MQ,SAF,DFW,1331,1335.0,4.0,32.0,1407.0,105.0,129.0,77.0,551,1624.0,20.0,1616,1644.0,28.0,0,0,,28.0,0.0,0.0,0.0,0.0
673549,2015,2,14,6,UA,618,N464UA,IAH,ORD,1125,1120.0,-5.0,14.0,1134.0,162.0,167.0,141.0,925,1355.0,12.0,1407,1407.0,0.0,0,0,,,,,,
2619876,2015,6,15,1,WN,184,N7705A,MSP,MCI,550,548.0,-2.0,10.0,558.0,80.0,76.0,62.0,393,700.0,4.0,710,704.0,-6.0,0,0,,,,,,
210938,2015,1,14,3,AS,892,N590AS,HNL,SAN,1630,1623.0,-7.0,23.0,1646.0,329.0,332.0,306.0,2614,2352.0,3.0,2359,2355.0,-4.0,0,0,,,,,,
3453688,2015,8,3,1,EV,5295,N916EV,VLD,ATL,1625,2255.0,390.0,14.0,2309.0,71.0,59.0,40.0,208,2349.0,5.0,1736,2354.0,378.0,0,0,,0.0,0.0,378.0,0.0,0.0
1674604,2015,4,17,5,OO,6486,N919SW,CPR,DEN,1643,1850.0,127.0,13.0,1903.0,66.0,74.0,51.0,230,1954.0,10.0,1749,2004.0,135.0,0,0,,8.0,0.0,0.0,127.0,0.0
1099210,2015,3,13,5,EV,3920,N29906,GSO,ORD,1035,1023.0,-12.0,9.0,1032.0,119.0,114.0,91.0,589,1103.0,14.0,1134,1117.0,-17.0,0,0,,,,,,
3943523,2015,9,2,3,B6,1054,N534JB,SJU,FLL,1137,1155.0,18.0,10.0,1205.0,163.0,148.0,132.0,1046,1417.0,6.0,1420,1423.0,3.0,0,0,,,,,,
1597232,2015,4,13,1,WN,922,N8314L,MDW,TPA,605,600.0,-5.0,17.0,617.0,160.0,150.0,129.0,997,926.0,4.0,945,930.0,-15.0,0,0,,,,,,
4592202,2015,10,14,3,WN,2982,N225WN,13495,10397,630,634.0,4.0,23.0,657.0,90.0,95.0,62.0,425,859.0,10.0,900,909.0,9.0,0,0,,,,,,
4451713,2015,10,5,1,AA,1409,N3DRAA,13303,12889,925,935.0,10.0,19.0,954.0,321.0,308.0,284.0,2174,1138.0,5.0,1146,1143.0,-3.0,0,0,,,,,,
4187077,2015,9,18,5,WN,408,N8639B,SJC,AUS,935,930.0,-5.0,12.0,942.0,205.0,191.0,176.0,1476,1438.0,3.0,1500,1441.0,-19.0,0,0,,,,,,
2054131,2015,5,11,1,MQ,3683,N902MQ,AZO,ORD,1125,1119.0,-6.0,11.0,1130.0,59.0,52.0,29.0,122,1059.0,12.0,1124,1111.0,-13.0,0,0,,,,,,
2405007,2015,6,2,2,DL,1322,N953AT,PHL,DTW,730,726.0,-4.0,15.0,741.0,100.0,95.0,71.0,453,852.0,9.0,910,901.0,-9.0,0,0,,,,,,
3266670,2015,7,23,4,B6,1115,N329JB,BOS,DFW,1435,1434.0,-1.0,19.0,1453.0,239.0,248.0,215.0,1562,1728.0,14.0,1734,1742.0,8.0,0,0,,,,,,
1153232,2015,3,16,1,UA,430,N817UA,ALB,ORD,1700,1656.0,-4.0,11.0,1707.0,144.0,138.0,118.0,723,1805.0,9.0,1824,1814.0,-10.0,0,0,,,,,,
4565067,2015,10,12,1,WN,628,N569WN,13796,12892,1145,1143.0,-2.0,17.0,1200.0,80.0,82.0,53.0,337,1253.0,12.0,1305,1305.0,0.0,0,0,,,,,,
3307717,2015,7,26,7,UA,1948,N64809,BOS,ORD,630,635.0,5.0,10.0,645.0,158.0,143.0,122.0,867,747.0,11.0,808,758.0,-10.0,0,0,,,,,,
1874364,2015,4,30,4,WN,837,N416WN,PHX,HOU,740,742.0,2.0,8.0,750.0,150.0,139.0,127.0,1020,1157.0,4.0,1210,1201.0,-9.0,0,0,,,,,,
2150162,2015,5,17,7,AA,1654,N4UCAA,DFW,FAT,1035,1059.0,24.0,13.0,1112.0,220.0,196.0,179.0,1313,1211.0,4.0,1215,1215.0,0.0,0,0,,,,,,
674415,2015,2,14,6,OO,5188,N748SK,LAX,ASE,1225,1234.0,9.0,13.0,1247.0,122.0,112.0,95.0,737,1522.0,4.0,1527,1526.0,-1.0,0,0,,,,,,
4060790,2015,9,10,4,AA,1150,N3FSAA,DFW,LGA,730,726.0,-4.0,13.0,739.0,211.0,200.0,177.0,1389,1136.0,10.0,1201,1146.0,-15.0,0,0,,,,,,
2817657,2015,6,26,5,MQ,3181,N923MQ,CVG,ORD,1524,1535.0,11.0,50.0,1625.0,81.0,130.0,63.0,265,1628.0,17.0,1545,1645.0,60.0,0,0,,49.0,0.0,11.0,0.0,0.0
3987107,2015,9,5,6,B6,838,N584JB,BQN,JFK,445,612.0,87.0,10.0,622.0,232.0,217.0,199.0,1576,941.0,8.0,837,949.0,72.0,0,0,,0.0,0.0,0.0,72.0,0.0
5164376,2015,11,19,4,DL,2763,N944AT,SFO,LAX,1200,,,,,80.0,,,337,,,1320,,,0,1,A,,,,,
3150722,2015,7,16,4,AA,1564,N4XMAA,DFW,EWR,1705,1718.0,13.0,10.0,1728.0,217.0,190.0,175.0,1372,2123.0,5.0,2142,2128.0,-14.0,0,0,,,,,,
3119066,2015,7,14,2,DL,2614,N986AT,ATL,LFT,1958,1958.0,0.0,38.0,2036.0,102.0,109.0,65.0,503,2041.0,6.0,2040,2047.0,7.0,0,0,,,,,,
3482899,2015,8,5,3,B6,4,N505JB,SJU,JFK,1100,1310.0,130.0,15.0,1325.0,239.0,220.0,200.0,1598,1645.0,5.0,1459,1650.0,111.0,0,0,,0.0,0.0,91.0,20.0,0.0
490368,2015,2,2,1,WN,468,N948WN,LGA,HOU,1215,,,,,270.0,,,1428,,,1545,,,0,1,B,,,,,
3307658,2015,7,26,7,DL,1517,N929DN,DEN,ATL,625,624.0,-1.0,13.0,637.0,177.0,166.0,146.0,1199,1103.0,7.0,1122,1110.0,-12.0,0,0,,,,,,
3458066,2015,8,3,1,WN,1149,N468WN,HOU,CLT,2045,2230.0,105.0,5.0,2235.0,145.0,123.0,114.0,920,129.0,4.0,10,133.0,83.0,0,0,,5.0,0.0,0.0,78.0,0.0
3592155,2015,8,11,2,DL,1860,N908DE,MIA,ATL,1910,1910.0,0.0,17.0,1927.0,126.0,121.0,86.0,594,2053.0,18.0,2116,2111.0,-5.0,0,0,,,,,,
5340753,2015,12,1,2,AS,602,N318AS,SEA,LAS,610,606.0,-4.0,13.0,619.0,135.0,133.0,113.0,867,812.0,7.0,825,819.0,-6.0,0,0,,,,,,
3252220,2015,7,22,3,EV,6144,N13995,ABE,ORD,1726,1722.0,-4.0,6.0,1728.0,124.0,119.0,104.0,654,1812.0,9.0,1830,1821.0,-9.0,0,0,,,,,,
1154683,2015,3,16,1,EV,4512,N15574,EWR,DCA,1821,1828.0,7.0,21.0,1849.0,75.0,64.0,37.0,199,1926.0,6.0,1936,1932.0,-4.0,0,0,,,,,,
5595782,2015,12,17,4,UA,1788,N76508,IAH,ORD,1435,1451.0,16.0,19.0,1510.0,166.0,140.0,107.0,925,1657.0,14.0,1721,1711.0,-10.0,0,0,,,,,,
2520610,2015,6,9,2,AS,530,N552AS,SEA,ONT,700,700.0,0.0,9.0,709.0,155.0,148.0,135.0,956,924.0,4.0,935,928.0,-7.0,0,0,,,,,,
1571266,2015,4,11,6,DL,2309,N973DL,STL,ATL,1010,1012.0,2.0,9.0,1021.0,90.0,77.0,63.0,484,1224.0,5.0,1240,1229.0,-11.0,0,0,,,,,,
1955222,2015,5,5,2,WN,3045,N8633A,DEN,SEA,835,833.0,-2.0,16.0,849.0,170.0,162.0,140.0,1024,1009.0,6.0,1025,1015.0,-10.0,0,0,,,,,,
4825634,2015,10,28,3,WN,472,N706SW,15304,12339,1920,1931.0,11.0,8.0,1939.0,135.0,130.0,115.0,837,2134.0,7.0,2135,2141.0,6.0,0,0,,,,,,
1627440,2015,4,14,2,VX,717,N522VA,DAL,SFO,1940,1934.0,-6.0,13.0,1947.0,230.0,233.0,199.0,1476,2106.0,21.0,2130,2127.0,-3.0,0,0,,,,,,
4892778,2015,11,2,1,WN,1635,N684WN,AUS,DAL,1020,1114.0,54.0,26.0,1140.0,55.0,75.0,44.0,189,1224.0,5.0,1115,1229.0,74.0,0,0,,20.0,0.0,9.0,45.0,0.0
2021384,2015,5,9,6,UA,1474,N24202,DCA,DEN,820,813.0,-7.0,9.0,822.0,241.0,261.0,244.0,1476,1026.0,8.0,1021,1034.0,13.0,0,0,,,,,,
3936919,2015,9,1,2,DL,1769,N523US,ATL,MCO,2305,2259.0,-6.0,12.0,2311.0,76.0,73.0,56.0,404,7.0,5.0,21,12.0,-9.0,0,0,,,,,,
1474325,2015,4,5,7,WN,4152,N920WN,HOU,LAS,1240,1235.0,-5.0,7.0,1242.0,205.0,193.0,178.0,1235,1340.0,8.0,1405,1348.0,-17.0,0,0,,,,,,
1350535,2015,3,28,6,DL,1445,N915DE,ATL,DFW,1730,1729.0,-1.0,17.0,1746.0,150.0,138.0,114.0,731,1840.0,7.0,1900,1847.0,-13.0,0,0,,,,,,
2753855,2015,6,22,1,DL,2608,N956DL,ATL,XNA,2059,2058.0,-1.0,13.0,2111.0,115.0,99.0,82.0,589,2133.0,4.0,2154,2137.0,-17.0,0,0,,,,,,
351583,2015,1,23,5,WN,426,N283WN,DEN,SMF,2110,2117.0,7.0,9.0,2126.0,160.0,134.0,120.0,909,2226.0,5.0,2250,2231.0,-19.0,0,0,,,,,,
5690972,2015,12,23,3,AA,1065,N3KHAA,FLL,ORD,1320,1321.0,1.0,15.0,1336.0,216.0,170.0,147.0,1182,1503.0,8.0,1556,1511.0,-45.0,0,0,,,,,,
1307084,2015,3,26,4,AA,2476,N3FPAA,BDL,MIA,644,636.0,-8.0,14.0,650.0,206.0,197.0,178.0,1194,948.0,5.0,1010,953.0,-17.0,0,0,,,,,,
4391700,2015,10,1,4,UA,1273,N87527,14771,13830,1105,1100.0,-5.0,25.0,1125.0,330.0,336.0,306.0,2338,1331.0,5.0,1335,1336.0,1.0,0,0,,,,,,
1183936,2015,3,18,3,EV,5392,N146PQ,VPS,ATL,1431,1427.0,-4.0,9.0,1436.0,74.0,61.0,44.0,250,1620.0,8.0,1645,1628.0,-17.0,0,0,,,,,,
486502,2015,2,2,1,DL,2421,N603AT,ATL,BNA,830,847.0,17.0,8.0,855.0,69.0,53.0,41.0,214,836.0,4.0,839,840.0,1.0,0,0,,,,,,
2449631,2015,6,4,4,OO,4799,N604SK,PHX,SEA,1815,1824.0,9.0,40.0,1904.0,184.0,190.0,146.0,1107,2130.0,4.0,2119,2134.0,15.0,0,0,,6.0,0.0,0.0,9.0,0.0
3262915,2015,7,23,4,DL,2617,N921DL,ATL,MSN,1050,1048.0,-2.0,12.0,1100.0,123.0,109.0,95.0,707,1135.0,2.0,1153,1137.0,-16.0,0,0,,,,,,
4113682,2015,9,13,7,DL,1838,N957DL,ATL,DCA,1720,1719.0,-1.0,13.0,1732.0,105.0,91.0,74.0,547,1846.0,4.0,1905,1850.0,-15.0,0,0,,,,,,
4696513,2015,10,20,2,AA,2118,N954UW,12953,10721,1600,1554.0,-6.0,29.0,1623.0,78.0,74.0,41.0,184,1704.0,4.0,1718,1708.0,-10.0,0,0,,,,,,
4448481,2015,10,5,1,AA,1760,N912UY,14107,11057,625,623.0,-2.0,17.0,640.0,238.0,236.0,208.0,1773,1308.0,11.0,1323,1319.0,-4.0,0,0,,,,,,
253817,2015,1,17,6,B6,2889,N552JB,LAS,SFO,1250,1241.0,-9.0,19.0,1300.0,101.0,95.0,67.0,414,1407.0,9.0,1431,1416.0,-15.0,0,0,,,,,,
1468629,2015,4,5,7,AA,1612,N860AA,PHX,DFW,635,631.0,-4.0,15.0,646.0,144.0,140.0,104.0,868,1030.0,21.0,1059,1051.0,-8.0,0,0,,,,,,
550164,2015,2,6,5,EV,5067,N873AS,MGM,ATL,930,922.0,-8.0,11.0,933.0,55.0,50.0,28.0,147,1101.0,11.0,1125,1112.0,-13.0,0,0,,,,,,
4001986,2015,9,6,7,OO,5616,N471CA,DEN,ISN,955,946.0,-9.0,16.0,1002.0,112.0,95.0,75.0,576,1217.0,4.0,1247,1221.0,-26.0,0,0,,,,,,
1592155,2015,4,12,7,WN,170,N237WN,RNO,LAS,1740,1741.0,1.0,8.0,1749.0,75.0,66.0,53.0,345,1842.0,5.0,1855,1847.0,-8.0,0,0,,,,,,
1806382,2015,4,26,7,WN,453,N553WN,CLT,MDW,545,539.0,-6.0,8.0,547.0,130.0,103.0,90.0,584,617.0,5.0,655,622.0,-33.0,0,0,,,,,,
4788659,2015,10,26,1,AA,519,N714US,13198,11057,1345,1351.0,6.0,9.0,1400.0,135.0,134.0,111.0,808,1651.0,14.0,1700,1705.0,5.0,0,0,,,,,,
5080678,2015,11,14,6,EV,4151,N13908,DSM,EWR,605,555.0,-10.0,20.0,615.0,159.0,171.0,143.0,1017,938.0,8.0,944,946.0,2.0,0,0,,,,,,
1739174,2015,4,21,2,OO,5319,N929SW,DLH,ORD,1828,1828.0,0.0,9.0,1837.0,97.0,95.0,65.0,397,1942.0,21.0,2005,2003.0,-2.0,0,0,,,,,,
4829208,2015,10,29,4,AA,1359,N3BMAA,13303,11278,655,649.0,-6.0,18.0,707.0,150.0,147.0,119.0,919,906.0,10.0,925,916.0,-9.0,0,0,,,,,,
76536,2015,1,5,1,OO,4804,N554CA,PHX,SEA,1906,1906.0,0.0,16.0,1922.0,182.0,186.0,164.0,1107,2106.0,6.0,2108,2112.0,4.0,0,0,,,,,,
1985060,2015,5,7,4,OO,5467,N945SW,ONT,SFO,530,521.0,-9.0,17.0,538.0,91.0,84.0,62.0,363,640.0,5.0,701,645.0,-16.0,0,0,,,,,,
5515769,2015,12,12,6,OO,6369,N151SY,SFO,ACV,1045,1052.0,7.0,17.0,1109.0,73.0,83.0,61.0,250,1210.0,5.0,1158,1215.0,17.0,0,0,,10.0,0.0,7.0,0.0,0.0
5079092,2015,11,13,5,WN,753,N465WN,LAS,SLC,2105,2055.0,-10.0,12.0,2107.0,75.0,72.0,55.0,368,2302.0,5.0,2320,2307.0,-13.0,0,0,,,,,,
4803885,2015,10,27,2,WN,421,N427WN,14831,10800,1255,1252.0,-3.0,7.0,1259.0,60.0,56.0,46.0,296,1345.0,3.0,1355,1348.0,-7.0,0,0,,,,,,
5121822,2015,11,16,1,WN,995,N8611F,LAS,MCI,1820,1832.0,12.0,12.0,1844.0,160.0,183.0,167.0,1139,2331.0,4.0,2300,2335.0,35.0,0,0,,23.0,0.0,12.0,0.0,0.0
1791501,2015,4,24,5,OO,2887,N869AS,LAX,MRY,2050,2125.0,35.0,13.0,2138.0,67.0,62.0,45.0,266,2223.0,4.0,2157,2227.0,30.0,0,0,,0.0,0.0,21.0,9.0,0.0
1845077,2015,4,28,2,MQ,3683,N918MQ,AZO,ORD,1125,1113.0,-12.0,13.0,1126.0,59.0,56.0,28.0,122,1054.0,15.0,1124,1109.0,-15.0,0,0,,,,,,
426606,2015,1,29,4,WN,1435,N461WN,DTW,PHX,615,615.0,0.0,36.0,651.0,285.0,276.0,235.0,1671,846.0,5.0,900,851.0,-9.0,0,0,,,,,,
5127925,2015,11,17,2,UA,1937,N38467,EWR,LAS,809,806.0,-3.0,24.0,830.0,341.0,321.0,289.0,2227,1019.0,8.0,1050,1027.0,-23.0,0,0,,,,,,
131795,2015,1,9,5,OO,4589,N821SK,SLC,LGB,1115,1114.0,-1.0,16.0,1130.0,121.0,108.0,88.0,588,1158.0,4.0,1216,1202.0,-14.0,0,0,,,,,,
4813833,2015,10,28,3,NK,557,N521NK,10397,14635,710,706.0,-4.0,16.0,722.0,93.0,107.0,81.0,515,843.0,10.0,843,853.0,10.0,0,0,,,,,,
5109997,2015,11,16,1,AA,1836,N544UW,PHL,PHX,645,644.0,-1.0,11.0,655.0,320.0,333.0,299.0,2075,954.0,23.0,1005,1017.0,12.0,0,0,,,,,,
1761477,2015,4,23,4,US,560,N679AW,PHX,SEA,735,731.0,-4.0,19.0,750.0,184.0,191.0,161.0,1107,1031.0,11.0,1039,1042.0,3.0,0,0,,,,,,
4972410,2015,11,7,6,AA,2450,N854AA,LAX,DFW,835,835.0,0.0,20.0,855.0,188.0,177.0,152.0,1235,1327.0,5.0,1343,1332.0,-11.0,0,0,,,,,,
3844003,2015,8,27,4,OO,2884,N947SW,LAX,TUS,804,758.0,-6.0,19.0,817.0,96.0,89.0,66.0,451,923.0,4.0,940,927.0,-13.0,0,0,,,,,,
3691920,2015,8,17,1,DL,1448,N3773D,ATL,DTW,1905,2023.0,78.0,25.0,2048.0,123.0,121.0,89.0,594,2217.0,7.0,2108,2224.0,76.0,0,0,,0.0,0.0,0.0,0.0,76.0
5479515,2015,12,10,4,DL,1867,N922AT,TUL,ATL,600,557.0,-3.0,14.0,611.0,115.0,107.0,88.0,674,839.0,5.0,855,844.0,-11.0,0,0,,,,,,
2099542,2015,5,14,4,AA,2266,N3KYAA,LGA,MIA,655,647.0,-8.0,19.0,706.0,186.0,181.0,142.0,1096,928.0,20.0,1001,948.0,-13.0,0,0,,,,,,
5047851,2015,11,12,4,DL,1736,N3746H,PDX,JFK,615,611.0,-4.0,11.0,622.0,311.0,295.0,276.0,2454,1358.0,8.0,1426,1406.0,-20.0,0,0,,,,,,
1853672,2015,4,28,2,US,601,N673AW,PHX,SJC,2010,2005.0,-5.0,21.0,2026.0,116.0,115.0,90.0,621,2156.0,4.0,2206,2200.0,-6.0,0,0,,,,,,
4190176,2015,9,18,5,WN,3181,N411WN,BDL,TPA,1235,1317.0,42.0,14.0,1331.0,180.0,165.0,146.0,1111,1557.0,5.0,1535,1602.0,27.0,0,0,,0.0,0.0,0.0,27.0,0.0
4648959,2015,10,17,6,F9,282,N918FR,11292,15016,1500,1451.0,-9.0,11.0,1502.0,117.0,109.0,93.0,770,1735.0,5.0,1757,1740.0,-17.0,0,0,,,,,,
4392822,2015,10,1,4,WN,1633,N7735A,14893,12889,1210,1207.0,-3.0,12.0,1219.0,80.0,85.0,64.0,397,1323.0,9.0,1330,1332.0,2.0,0,0,,,,,,
1950919,2015,5,4,1,HA,397,N475HA,KOA,HNL,2119,2103.0,-16.0,8.0,2111.0,43.0,45.0,26.0,163,2137.0,11.0,2202,2148.0,-14.0,0,0,,,,,,
3964395,2015,9,3,4,EV,5013,N878AS,MGM,ATL,1555,1658.0,63.0,9.0,1707.0,52.0,57.0,36.0,147,1843.0,12.0,1747,1855.0,68.0,0,0,,5.0,0.0,12.0,51.0,0.0
5217559,2015,11,22,7,WN,473,N900WN,PHX,PDX,2040,2035.0,-5.0,10.0,2045.0,170.0,159.0,143.0,1009,2208.0,6.0,2230,2214.0,-16.0,0,0,,,,,,
4290380,2015,9,24,4,DL,2778,N967AT,LAX,SFO,2000,1958.0,-2.0,20.0,2018.0,88.0,77.0,52.0,337,2110.0,5.0,2128,2115.0,-13.0,0,0,,,,,,
2556657,2015,6,11,4,US,1937,N171US,TPA,CLT,830,828.0,-2.0,12.0,840.0,108.0,104.0,77.0,507,957.0,15.0,1018,1012.0,-6.0,0,0,,,,,,
5507079,2015,12,11,5,UA,1841,N15751,DEN,ICT,1725,1720.0,-5.0,13.0,1733.0,84.0,75.0,57.0,420,1930.0,5.0,1949,1935.0,-14.0,0,0,,,,,,
1576866,2015,4,11,6,B6,2416,N612JB,AUS,MCO,1649,1640.0,-9.0,15.0,1655.0,144.0,,,994,2147.0,14.0,2013,2201.0,,1,0,,,,,,
5419747,2015,12,6,7,WN,4041,N228WN,STL,DAL,945,945.0,0.0,12.0,957.0,105.0,101.0,86.0,546,1123.0,3.0,1130,1126.0,-4.0,0,0,,,,,,
3874028,2015,8,28,5,NK,350,N635NK,MYR,ACY,2115,2110.0,-5.0,9.0,2119.0,80.0,78.0,65.0,466,2224.0,4.0,2235,2228.0,-7.0,0,0,,,,,,
5531145,2015,12,13,7,EV,5307,N716EV,CLE,LGA,1400,1359.0,-1.0,14.0,1413.0,98.0,101.0,64.0,419,1517.0,23.0,1538,1540.0,2.0,0,0,,,,,,
1520108,2015,4,8,3,UA,1426,N57857,SFO,IAH,841,838.0,-3.0,19.0,857.0,231.0,222.0,196.0,1635,1413.0,7.0,1432,1420.0,-12.0,0,0,,,,,,
5639456,2015,12,20,7,MQ,3207,N918MQ,BNA,JFK,1035,1033.0,-2.0,7.0,1040.0,142.0,127.0,113.0,765,1333.0,7.0,1357,1340.0,-17.0,0,0,,,,,,
4312960,2015,9,26,6,WN,3410,N201LV,CLE,MDW,1025,1019.0,-6.0,11.0,1030.0,70.0,63.0,46.0,307,1016.0,6.0,1035,1022.0,-13.0,0,0,,,,,,
1446634,2015,4,3,5,DL,2244,N803DN,SEA,ATL,1420,1519.0,59.0,12.0,1531.0,284.0,254.0,235.0,2182,2226.0,7.0,2204,2233.0,29.0,0,0,,0.0,0.0,0.0,0.0,29.0
3933130,2015,9,1,2,WN,1570,7819A,DEN,LGA,1735,1801.0,26.0,30.0,1831.0,230.0,237.0,200.0,1620,2351.0,7.0,2325,2358.0,33.0,0,0,,7.0,0.0,0.0,0.0,26.0
4764254,2015,10,24,6,UA,1618,N14242,12889,13930,2315,2314.0,-1.0,14.0,2328.0,225.0,200.0,183.0,1514,431.0,3.0,500,434.0,-26.0,0,0,,,,,,
4372303,2015,9,30,3,DL,2190,N895AT,JFK,MIA,810,1252.0,282.0,30.0,1322.0,200.0,182.0,143.0,1089,1545.0,9.0,1130,1554.0,264.0,0,0,,0.0,0.0,264.0,0.0,0.0
900462,2015,3,1,7,AA,1254,N3ANAA,MIA,ORD,715,717.0,2.0,22.0,739.0,205.0,209.0,176.0,1197,935.0,11.0,940,946.0,6.0,0,0,,,,,,
3336169,2015,7,27,1,EV,5590,N707EV,ELM,DTW,1727,2005.0,158.0,8.0,2013.0,82.0,66.0,51.0,332,2104.0,7.0,1849,2111.0,142.0,0,0,,0.0,0.0,0.0,142.0,0.0
1751817,2015,4,22,3,DL,1695,N927DA,ATL,CMH,1432,1444.0,12.0,11.0,1455.0,93.0,83.0,68.0,447,1603.0,4.0,1605,1607.0,2.0,0,0,,,,,,
4994314,2015,11,8,7,AA,717,N923US,PHL,LAX,1800,1808.0,8.0,29.0,1837.0,374.0,341.0,301.0,2402,2038.0,11.0,2114,2049.0,-25.0,0,0,,,,,,
1311238,2015,3,26,4,WN,159,N928WN,LAX,TUS,1035,1038.0,3.0,13.0,1051.0,75.0,80.0,63.0,451,1154.0,4.0,1150,1158.0,8.0,0,0,,,,,,
469008,2015,1,31,6,OO,4970,N713SK,ORD,BUF,1945,1943.0,-2.0,25.0,2008.0,91.0,92.0,63.0,473,2211.0,4.0,2216,2215.0,-1.0,0,0,,,,,,
3793284,2015,8,24,1,OO,6520,N744SK,SUN,DEN,715,713.0,-2.0,12.0,725.0,103.0,92.0,73.0,557,838.0,7.0,858,845.0,-13.0,0,0,,,,,,
5271125,2015,11,26,4,OO,5594,N969SW,STL,ORD,1015,1014.0,-1.0,25.0,1039.0,80.0,85.0,53.0,258,1132.0,7.0,1135,1139.0,4.0,0,0,,,,,,
4702771,2015,10,21,3,UA,1277,N26210,15304,13930,610,603.0,-7.0,10.0,613.0,169.0,162.0,145.0,1012,738.0,7.0,759,745.0,-14.0,0,0,,,,,,
3354696,2015,7,28,2,WN,2194,N367SW,SJC,LAX,1835,1915.0,40.0,13.0,1928.0,70.0,75.0,57.0,308,2025.0,5.0,1945,2030.0,45.0,0,0,,5.0,0.0,0.0,40.0,0.0
2743746,2015,6,22,1,EV,4609,N16571,CRP,IAH,1054,1047.0,-7.0,8.0,1055.0,65.0,55.0,42.0,201,1137.0,5.0,1159,1142.0,-17.0,0,0,,,,,,
21423,2015,1,2,5,DL,1131,N332NB,LGA,DTW,1235,1229.0,-6.0,14.0,1243.0,118.0,113.0,93.0,502,1416.0,6.0,1433,1422.0,-11.0,0,0,,,,,,
